query,group,time,value
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T02:40:00.000Z,5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T02:50:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T03:00:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T03:10:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T03:20:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T03:30:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T03:40:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T03:50:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T04:00:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T04:10:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T04:20:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T04:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T04:40:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T04:50:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T05:00:00.000Z,4.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T05:10:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T05:20:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T05:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T05:40:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T05:50:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T06:00:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T06:10:00.000Z,2.2
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-20T06:20:00.000Z,0.1666667
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T12:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T14:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T14:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T14:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T14:30:00.000Z,4.833333
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T14:40:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T14:50:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T15:00:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T15:10:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T15:20:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T15:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T15:40:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T15:50:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T16:00:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T16:10:00.000Z,4.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T16:20:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T16:30:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T16:40:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T16:50:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T17:00:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T17:10:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T17:20:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T17:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T17:40:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T17:50:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T18:00:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T18:10:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T18:20:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T18:30:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T18:40:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T18:50:00.000Z,4.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T19:00:00.000Z,5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T19:10:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T19:20:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T19:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T19:40:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T19:50:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T20:00:00.000Z,5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T20:10:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T20:20:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T20:30:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T20:40:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T20:50:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T21:00:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T21:10:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T21:20:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T21:30:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T21:40:00.000Z,4.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T21:50:00.000Z,4.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T22:00:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T22:10:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T22:20:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T22:30:00.000Z,5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T22:40:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T22:50:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T23:00:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T23:10:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T23:20:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T23:30:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T23:40:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T23:50:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T00:00:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T00:10:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T00:20:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T00:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T00:40:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T00:50:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T01:00:00.000Z,4.2
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T01:10:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T01:20:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T01:30:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T01:40:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T01:50:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T02:00:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T02:10:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T02:20:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T02:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T02:40:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T02:50:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T03:00:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T03:10:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T03:20:00.000Z,4.9
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T03:30:00.000Z,4.7
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T03:40:00.000Z,5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T03:50:00.000Z,4.6
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T04:00:00.000Z,4.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T04:10:00.000Z,4.8
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T04:20:00.000Z,4.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T04:30:00.000Z,4.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T04:40:00.000Z,3.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T04:50:00.000Z,2.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T05:00:00.000Z,1
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T05:10:00.000Z,1
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T05:20:00.000Z,0.5
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T05:30:00.000Z,0.2
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T05:40:00.000Z,0.4
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T05:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T06:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T06:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-20T06:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T12:50:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T13:00:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T13:10:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T13:20:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T13:30:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T13:40:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T13:50:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T14:00:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T14:10:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T14:20:00.000Z,N/A
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T14:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T14:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T14:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T15:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T15:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T15:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T15:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T15:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T15:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T16:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T16:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T16:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T16:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T16:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T16:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T17:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T17:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T17:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T17:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T17:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T17:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T18:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T18:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T18:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T18:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T18:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T18:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T19:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T19:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T19:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T19:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T19:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T19:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T20:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T20:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T20:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T20:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T20:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T20:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T21:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T21:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T21:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T21:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T21:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T21:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T22:00:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T22:10:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T22:20:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T22:30:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T22:40:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T22:50:00.000Z,0
"nuxeo.streams.computation.running",hostname:nxbench-bench-11-worker-2826-10-3-12-139-use;staging:bench-11,2020-09-19T23:00:00.000Z,0
